KÃ˜N,ALDER1,UDDANNELSE,VARTILBAGE,TID,INDHOLD
1,0,1,3,0,3502
1,0,1,3,1,3727
1,0,1,3,2,3137
1,0,1,3,3,3147
1,0,1,3,4,3000
1,0,1,3,5,2599
1,0,1,3,6,2657
1,0,1,3,7,2162
1,0,1,3,8,2506
1,0,1,3,9,2401
1,0,1,3,10,2584
1,0,1,3,11,3217
1,0,1,3,12,3380
1,0,1,2,0,1930
1,0,1,2,1,1875
1,0,1,2,2,1745
1,0,1,2,3,2008
1,0,1,2,4,1956
1,0,1,2,5,1912
1,0,1,2,6,1828
1,0,1,2,7,1545
1,0,1,2,8,1695
1,0,1,2,9,1548
1,0,1,2,10,1714
1,0,1,2,11,1745
1,0,1,2,12,1771
1,0,1,1,0,1015
1,0,1,1,1,988
1,0,1,1,2,985
1,0,1,1,3,993
1,0,1,1,4,969
1,0,1,1,5,873
1,0,1,1,6,771
1,0,1,1,7,689
1,0,1,1,8,795
1,0,1,1,9,782
1,0,1,1,10,764
1,0,1,1,11,918
1,0,1,1,12,829
1,0,1,0,0,1119
1,0,1,0,1,1190
1,0,1,0,2,1292
1,0,1,0,3,1196
1,0,1,0,4,1162
1,0,1,0,5,968
1,0,1,0,6,945
1,0,1,0,7,819
1,0,1,0,8,920
1,0,1,0,9,914
1,0,1,0,10,883
1,0,1,0,11,972
1,0,1,0,12,1006
1,0,2,3,0,1102
1,0,2,3,1,1357
1,0,2,3,2,1391
1,0,2,3,3,1623
1,0,2,3,4,1912
1,0,2,3,5,2044
1,0,2,3,6,2063
1,0,2,3,7,1801
1,0,2,3,8,2559
1,0,2,3,9,2776
1,0,2,3,10,2729
1,0,2,3,11,2831
1,0,2,3,12,2026
1,0,2,2,0,138
1,0,2,2,1,188
1,0,2,2,2,179
1,0,2,2,3,257
1,0,2,2,4,357
1,0,2,2,5,378
1,0,2,2,6,384
1,0,2,2,7,319
1,0,2,2,8,441
1,0,2,2,9,516
1,0,2,2,10,537
1,0,2,2,11,562
1,0,2,2,12,410
1,0,2,1,0,108
1,0,2,1,1,111
1,0,2,1,2,164
1,0,2,1,3,201
1,0,2,1,4,269
1,0,2,1,5,229
1,0,2,1,6,252
1,0,2,1,7,219
1,0,2,1,8,291
1,0,2,1,9,291
1,0,2,1,10,331
1,0,2,1,11,300
1,0,2,1,12,250
1,0,2,0,0,134
1,0,2,0,1,193
1,0,2,0,2,208
1,0,2,0,3,259
1,0,2,0,4,332
1,0,2,0,5,336
1,0,2,0,6,310
1,0,2,0,7,300
1,0,2,0,8,323
1,0,2,0,9,377
1,0,2,0,10,412
1,0,2,0,11,362
1,0,2,0,12,335
1,0,0,3,0,2011
1,0,0,3,1,2265
1,0,0,3,2,1924
1,0,0,3,3,2013
1,0,0,3,4,1959
1,0,0,3,5,1809
1,0,0,3,6,1821
1,0,0,3,7,1484
1,0,0,3,8,965
1,0,0,3,9,1035
1,0,0,3,10,970
1,0,0,3,11,1056
1,0,0,3,12,1023
1,0,0,2,0,730
1,0,0,2,1,734
1,0,0,2,2,742
1,0,0,2,3,916
1,0,0,2,4,1034
1,0,0,2,5,932
1,0,0,2,6,812
1,0,0,2,7,648
1,0,0,2,8,340
1,0,0,2,9,323
1,0,0,2,10,384
1,0,0,2,11,415
1,0,0,2,12,377
1,0,0,1,0,471
1,0,0,1,1,449
1,0,0,1,2,529
1,0,0,1,3,567
1,0,0,1,4,590
1,0,0,1,5,522
1,0,0,1,6,470
1,0,0,1,7,367
1,0,0,1,8,201
1,0,0,1,9,217
1,0,0,1,10,213
1,0,0,1,11,215
1,0,0,1,12,268
1,0,0,0,0,513
1,0,0,0,1,640
1,0,0,0,2,676
1,0,0,0,3,682
1,0,0,0,4,672
1,0,0,0,5,589
1,0,0,0,6,540
1,0,0,0,7,419
1,0,0,0,8,258
1,0,0,0,9,264
1,0,0,0,10,298
1,0,0,0,11,283
1,0,0,0,12,274
1,0,4,3,0,19
1,0,4,3,1,18
1,0,4,3,2,27
1,0,4,3,3,17
1,0,4,3,4,35
1,0,4,3,5,27
1,0,4,3,6,28
1,0,4,3,7,24
1,0,4,3,8,23
1,0,4,3,9,21
1,0,4,3,10,33
1,0,4,3,11,7
1,0,4,3,12,11
1,0,4,2,0,0
1,0,4,2,1,1
1,0,4,2,2,3
1,0,4,2,3,1
1,0,4,2,4,1
1,0,4,2,5,9
1,0,4,2,6,5
1,0,4,2,7,4
1,0,4,2,8,2
1,0,4,2,9,3
1,0,4,2,10,3
1,0,4,2,11,3
1,0,4,2,12,2
1,0,4,1,0,1
1,0,4,1,1,0
1,0,4,1,2,0
1,0,4,1,3,1
1,0,4,1,4,4
1,0,4,1,5,1
1,0,4,1,6,2
1,0,4,1,7,0
1,0,4,1,8,3
1,0,4,1,9,3
1,0,4,1,10,3
1,0,4,1,11,0
1,0,4,1,12,0
1,0,4,0,0,2
1,0,4,0,1,2
1,0,4,0,2,3
1,0,4,0,3,2
1,0,4,0,4,4
1,0,4,0,5,6
1,0,4,0,6,7
1,0,4,0,7,2
1,0,4,0,8,4
1,0,4,0,9,3
1,0,4,0,10,2
1,0,4,0,11,1
1,0,4,0,12,4
1,0,3,3,0,96
1,0,3,3,1,105
1,0,3,3,2,59
1,0,3,3,3,76
1,0,3,3,4,62
1,0,3,3,5,47
1,0,3,3,6,36
1,0,3,3,7,42
1,0,3,3,8,53
1,0,3,3,9,54
1,0,3,3,10,68
1,0,3,3,11,56
1,0,3,3,12,39
1,0,3,2,0,124
1,0,3,2,1,107
1,0,3,2,2,65
1,0,3,2,3,63
1,0,3,2,4,38
1,0,3,2,5,28
1,0,3,2,6,27
1,0,3,2,7,23
1,0,3,2,8,33
1,0,3,2,9,27
1,0,3,2,10,27
1,0,3,2,11,21
1,0,3,2,12,9
1,0,3,1,0,44
1,0,3,1,1,32
1,0,3,1,2,36
1,0,3,1,3,21
1,0,3,1,4,16
1,0,3,1,5,10
1,0,3,1,6,11
1,0,3,1,7,7
1,0,3,1,8,9
1,0,3,1,9,6
1,0,3,1,10,15
1,0,3,1,11,9
1,0,3,1,12,7
1,0,3,0,0,49
1,0,3,0,1,35
1,0,3,0,2,36
1,0,3,0,3,19
1,0,3,0,4,13
1,0,3,0,5,12
1,0,3,0,6,12
1,0,3,0,7,12
1,0,3,0,8,18
1,0,3,0,9,14
1,0,3,0,10,11
1,0,3,0,11,13
1,0,3,0,12,14
1,1,1,3,0,2908
1,1,1,3,1,3102
1,1,1,3,2,2848
1,1,1,3,3,2761
1,1,1,3,4,2662
1,1,1,3,5,2614
1,1,1,3,6,2609
1,1,1,3,7,2530
1,1,1,3,8,2396
1,1,1,3,9,2376
1,1,1,3,10,2599
1,1,1,3,11,2686
1,1,1,3,12,2766
1,1,1,2,0,1921
1,1,1,2,1,1967
1,1,1,2,2,2040
1,1,1,2,3,2233
1,1,1,2,4,2502
1,1,1,2,5,2492
1,1,1,2,6,2227
1,1,1,2,7,1963
1,1,1,2,8,2046
1,1,1,2,9,2042
1,1,1,2,10,2260
1,1,1,2,11,2260
1,1,1,2,12,2350
1,1,1,1,0,890
1,1,1,1,1,906
1,1,1,1,2,935
1,1,1,1,3,1008
1,1,1,1,4,1035
1,1,1,1,5,955
1,1,1,1,6,856
1,1,1,1,7,790
1,1,1,1,8,846
1,1,1,1,9,870
1,1,1,1,10,951
1,1,1,1,11,988
1,1,1,1,12,1021
1,1,1,0,0,887
1,1,1,0,1,1044
1,1,1,0,2,1075
1,1,1,0,3,986
1,1,1,0,4,1010
1,1,1,0,5,881
1,1,1,0,6,897
1,1,1,0,7,845
1,1,1,0,8,879
1,1,1,0,9,875
1,1,1,0,10,966
1,1,1,0,11,1016
1,1,1,0,12,923
1,1,2,3,0,1129
1,1,2,3,1,1193
1,1,2,3,2,1082
1,1,2,3,3,1344
1,1,2,3,4,1555
1,1,2,3,5,1798
1,1,2,3,6,1891
1,1,2,3,7,1767
1,1,2,3,8,1983
1,1,2,3,9,1977
1,1,2,3,10,2157
1,1,2,3,11,3047
1,1,2,3,12,2815
1,1,2,2,0,136
1,1,2,2,1,157
1,1,2,2,2,162
1,1,2,2,3,231
1,1,2,2,4,278
1,1,2,2,5,296
1,1,2,2,6,293
1,1,2,2,7,300
1,1,2,2,8,283
1,1,2,2,9,363
1,1,2,2,10,391
1,1,2,2,11,493
1,1,2,2,12,525
1,1,2,1,0,96
1,1,2,1,1,98
1,1,2,1,2,127
1,1,2,1,3,151
1,1,2,1,4,180
1,1,2,1,5,174
1,1,2,1,6,181
1,1,2,1,7,172
1,1,2,1,8,191
1,1,2,1,9,209
1,1,2,1,10,222
1,1,2,1,11,308
1,1,2,1,12,315
1,1,2,0,0,121
1,1,2,0,1,160
1,1,2,0,2,163
1,1,2,0,3,202
1,1,2,0,4,234
1,1,2,0,5,243
1,1,2,0,6,246
1,1,2,0,7,229
1,1,2,0,8,241
1,1,2,0,9,273
1,1,2,0,10,310
1,1,2,0,11,391
1,1,2,0,12,424
1,1,0,3,0,3506
1,1,0,3,1,3502
1,1,0,3,2,3458
1,1,0,3,3,3776
1,1,0,3,4,4243
1,1,0,3,5,4612
1,1,0,3,6,4398
1,1,0,3,7,4054
1,1,0,3,8,3479
1,1,0,3,9,3373
1,1,0,3,10,3044
1,1,0,3,11,3224
1,1,0,3,12,3160
1,1,0,2,0,848
1,1,0,2,1,860
1,1,0,2,2,1033
1,1,0,2,3,1303
1,1,0,2,4,1565
1,1,0,2,5,1597
1,1,0,2,6,1388
1,1,0,2,7,1222
1,1,0,2,8,960
1,1,0,2,9,873
1,1,0,2,10,880
1,1,0,2,11,983
1,1,0,2,12,932
1,1,0,1,0,593
1,1,0,1,1,497
1,1,0,1,2,601
1,1,0,1,3,815
1,1,0,1,4,889
1,1,0,1,5,858
1,1,0,1,6,786
1,1,0,1,7,666
1,1,0,1,8,624
1,1,0,1,9,544
1,1,0,1,10,561
1,1,0,1,11,565
1,1,0,1,12,597
1,1,0,0,0,649
1,1,0,0,1,691
1,1,0,0,2,851
1,1,0,0,3,953
1,1,0,0,4,1097
1,1,0,0,5,980
1,1,0,0,6,984
1,1,0,0,7,888
1,1,0,0,8,785
1,1,0,0,9,764
1,1,0,0,10,705
1,1,0,0,11,759
1,1,0,0,12,706
1,1,4,3,0,596
1,1,4,3,1,681
1,1,4,3,2,714
1,1,4,3,3,947
1,1,4,3,4,1280
1,1,4,3,5,1339
1,1,4,3,6,1386
1,1,4,3,7,1246
1,1,4,3,8,1173
1,1,4,3,9,1101
1,1,4,3,10,1094
1,1,4,3,11,716
1,1,4,3,12,710
1,1,4,2,0,57
1,1,4,2,1,57
1,1,4,2,2,67
1,1,4,2,3,98
1,1,4,2,4,147
1,1,4,2,5,164
1,1,4,2,6,160
1,1,4,2,7,134
1,1,4,2,8,155
1,1,4,2,9,135
1,1,4,2,10,156
1,1,4,2,11,98
1,1,4,2,12,107
1,1,4,1,0,41
1,1,4,1,1,32
1,1,4,1,2,56
1,1,4,1,3,79
1,1,4,1,4,96
1,1,4,1,5,122
1,1,4,1,6,126
1,1,4,1,7,105
1,1,4,1,8,84
1,1,4,1,9,90
1,1,4,1,10,98
1,1,4,1,11,54
1,1,4,1,12,63
1,1,4,0,0,53
1,1,4,0,1,51
1,1,4,0,2,77
1,1,4,0,3,102
1,1,4,0,4,160
1,1,4,0,5,130
1,1,4,0,6,167
1,1,4,0,7,130
1,1,4,0,8,119
1,1,4,0,9,117
1,1,4,0,10,151
1,1,4,0,11,82
1,1,4,0,12,78
1,1,3,3,0,359
1,1,3,3,1,452
1,1,3,3,2,396
1,1,3,3,3,435
1,1,3,3,4,413
1,1,3,3,5,326
1,1,3,3,6,346
1,1,3,3,7,303
1,1,3,3,8,294
1,1,3,3,9,332
1,1,3,3,10,350
1,1,3,3,11,437
1,1,3,3,12,437
1,1,3,2,0,241
1,1,3,2,1,245
1,1,3,2,2,242
1,1,3,2,3,227
1,1,3,2,4,235
1,1,3,2,5,153
1,1,3,2,6,136
1,1,3,2,7,115
1,1,3,2,8,105
1,1,3,2,9,101
1,1,3,2,10,89
1,1,3,2,11,121
1,1,3,2,12,152
1,1,3,1,0,105
1,1,3,1,1,99
1,1,3,1,2,90
1,1,3,1,3,100
1,1,3,1,4,82
1,1,3,1,5,85
1,1,3,1,6,50
1,1,3,1,7,55
1,1,3,1,8,47
1,1,3,1,9,52
1,1,3,1,10,52
1,1,3,1,11,73
1,1,3,1,12,64
1,1,3,0,0,94
1,1,3,0,1,120
1,1,3,0,2,102
1,1,3,0,3,75
1,1,3,0,4,95
1,1,3,0,5,73
1,1,3,0,6,64
1,1,3,0,7,42
1,1,3,0,8,62
1,1,3,0,9,50
1,1,3,0,10,72
1,1,3,0,11,60
1,1,3,0,12,64
1,2,1,3,0,2126
1,2,1,3,1,2150
1,2,1,3,2,2110
1,2,1,3,3,2051
1,2,1,3,4,2204
1,2,1,3,5,2132
1,2,1,3,6,2477
1,2,1,3,7,2285
1,2,1,3,8,2167
1,2,1,3,9,1968
1,2,1,3,10,2180
1,2,1,3,11,2213
1,2,1,3,12,2538
1,2,1,2,0,1162
1,2,1,2,1,1189
1,2,1,2,2,1243
1,2,1,2,3,1425
1,2,1,2,4,1530
1,2,1,2,5,1477
1,2,1,2,6,1394
1,2,1,2,7,1389
1,2,1,2,8,1317
1,2,1,2,9,1286
1,2,1,2,10,1502
1,2,1,2,11,1591
1,2,1,2,12,1698
1,2,1,1,0,599
1,2,1,1,1,585
1,2,1,1,2,619
1,2,1,1,3,698
1,2,1,1,4,647
1,2,1,1,5,696
1,2,1,1,6,654
1,2,1,1,7,668
1,2,1,1,8,584
1,2,1,1,9,714
1,2,1,1,10,717
1,2,1,1,11,754
1,2,1,1,12,774
1,2,1,0,0,625
1,2,1,0,1,645
1,2,1,0,2,758
1,2,1,0,3,660
1,2,1,0,4,757
1,2,1,0,5,679
1,2,1,0,6,695
1,2,1,0,7,659
1,2,1,0,8,685
1,2,1,0,9,680
1,2,1,0,10,793
1,2,1,0,11,731
1,2,1,0,12,843
1,2,2,3,0,465
1,2,2,3,1,440
1,2,2,3,2,386
1,2,2,3,3,400
1,2,2,3,4,459
1,2,2,3,5,453
1,2,2,3,6,535
1,2,2,3,7,585
1,2,2,3,8,555
1,2,2,3,9,598
1,2,2,3,10,641
1,2,2,3,11,891
1,2,2,3,12,1137
1,2,2,2,0,72
1,2,2,2,1,87
1,2,2,2,2,74
1,2,2,2,3,73
1,2,2,2,4,80
1,2,2,2,5,81
1,2,2,2,6,98
1,2,2,2,7,98
1,2,2,2,8,99
1,2,2,2,9,105
1,2,2,2,10,153
1,2,2,2,11,193
1,2,2,2,12,255
1,2,2,1,0,48
1,2,2,1,1,48
1,2,2,1,2,58
1,2,2,1,3,56
1,2,2,1,4,54
1,2,2,1,5,57
1,2,2,1,6,53
1,2,2,1,7,66
1,2,2,1,8,59
1,2,2,1,9,81
1,2,2,1,10,101
1,2,2,1,11,129
1,2,2,1,12,129
1,2,2,0,0,59
1,2,2,0,1,72
1,2,2,0,2,54
1,2,2,0,3,68
1,2,2,0,4,62
1,2,2,0,5,91
1,2,2,0,6,98
1,2,2,0,7,89
1,2,2,0,8,80
1,2,2,0,9,97
1,2,2,0,10,142
1,2,2,0,11,171
1,2,2,0,12,185
1,2,0,3,0,3094
1,2,0,3,1,3065
1,2,0,3,2,2751
1,2,0,3,3,3070
1,2,0,3,4,3119
1,2,0,3,5,3091
1,2,0,3,6,3211
1,2,0,3,7,3249
1,2,0,3,8,3112
1,2,0,3,9,3064
1,2,0,3,10,3024
1,2,0,3,11,3244
1,2,0,3,12,3733
1,2,0,2,0,572
1,2,0,2,1,530
1,2,0,2,2,588
1,2,0,2,3,712
1,2,0,2,4,754
1,2,0,2,5,729
1,2,0,2,6,747
1,2,0,2,7,725
1,2,0,2,8,629
1,2,0,2,9,618
1,2,0,2,10,715
1,2,0,2,11,824
1,2,0,2,12,918
1,2,0,1,0,360
1,2,0,1,1,375
1,2,0,1,2,382
1,2,0,1,3,422
1,2,0,1,4,436
1,2,0,1,5,461
1,2,0,1,6,420
1,2,0,1,7,449
1,2,0,1,8,464
1,2,0,1,9,427
1,2,0,1,10,458
1,2,0,1,11,566
1,2,0,1,12,557
1,2,0,0,0,487
1,2,0,0,1,515
1,2,0,0,2,513
1,2,0,0,3,523
1,2,0,0,4,600
1,2,0,0,5,505
1,2,0,0,6,566
1,2,0,0,7,578
1,2,0,0,8,597
1,2,0,0,9,526
1,2,0,0,10,631
1,2,0,0,11,668
1,2,0,0,12,762
1,2,4,3,0,1130
1,2,4,3,1,1122
1,2,4,3,2,994
1,2,4,3,3,1203
1,2,4,3,4,1330
1,2,4,3,5,1439
1,2,4,3,6,1625
1,2,4,3,7,1632
1,2,4,3,8,1644
1,2,4,3,9,1502
1,2,4,3,10,1545
1,2,4,3,11,1533
1,2,4,3,12,1701
1,2,4,2,0,79
1,2,4,2,1,65
1,2,4,2,2,82
1,2,4,2,3,103
1,2,4,2,4,104
1,2,4,2,5,167
1,2,4,2,6,155
1,2,4,2,7,134
1,2,4,2,8,169
1,2,4,2,9,146
1,2,4,2,10,155
1,2,4,2,11,171
1,2,4,2,12,189
1,2,4,1,0,81
1,2,4,1,1,70
1,2,4,1,2,67
1,2,4,1,3,88
1,2,4,1,4,84
1,2,4,1,5,97
1,2,4,1,6,123
1,2,4,1,7,115
1,2,4,1,8,110
1,2,4,1,9,105
1,2,4,1,10,148
1,2,4,1,11,101
1,2,4,1,12,134
1,2,4,0,0,98
1,2,4,0,1,99
1,2,4,0,2,110
1,2,4,0,3,110
1,2,4,0,4,151
1,2,4,0,5,167
1,2,4,0,6,157
1,2,4,0,7,155
1,2,4,0,8,146
1,2,4,0,9,173
1,2,4,0,10,192
1,2,4,0,11,192
1,2,4,0,12,191
1,2,3,3,0,440
1,2,3,3,1,562
1,2,3,3,2,637
1,2,3,3,3,674
1,2,3,3,4,763
1,2,3,3,5,622
1,2,3,3,6,628
1,2,3,3,7,662
1,2,3,3,8,627
1,2,3,3,9,631
1,2,3,3,10,738
1,2,3,3,11,898
1,2,3,3,12,1002
1,2,3,2,0,177
1,2,3,2,1,213
1,2,3,2,2,232
1,2,3,2,3,252
1,2,3,2,4,290
1,2,3,2,5,221
1,2,3,2,6,200
1,2,3,2,7,177
1,2,3,2,8,171
1,2,3,2,9,187
1,2,3,2,10,212
1,2,3,2,11,203
1,2,3,2,12,242
1,2,3,1,0,69
1,2,3,1,1,107
1,2,3,1,2,110
1,2,3,1,3,127
1,2,3,1,4,106
1,2,3,1,5,89
1,2,3,1,6,107
1,2,3,1,7,88
1,2,3,1,8,89
1,2,3,1,9,105
1,2,3,1,10,96
1,2,3,1,11,119
1,2,3,1,12,122
1,2,3,0,0,78
1,2,3,0,1,117
1,2,3,0,2,142
1,2,3,0,3,113
1,2,3,0,4,134
1,2,3,0,5,122
1,2,3,0,6,126
1,2,3,0,7,113
1,2,3,0,8,107
1,2,3,0,9,101
1,2,3,0,10,113
1,2,3,0,11,150
1,2,3,0,12,173
1,3,1,3,0,1996
1,3,1,3,1,2051
1,3,1,3,2,1929
1,3,1,3,3,1932
1,3,1,3,4,2032
1,3,1,3,5,1808
1,3,1,3,6,1969
1,3,1,3,7,1992
1,3,1,3,8,1836
1,3,1,3,9,1728
1,3,1,3,10,1838
1,3,1,3,11,1990
1,3,1,3,12,2393
1,3,1,2,0,894
1,3,1,2,1,891
1,3,1,2,2,996
1,3,1,2,3,1098
1,3,1,2,4,1038
1,3,1,2,5,1028
1,3,1,2,6,930
1,3,1,2,7,911
1,3,1,2,8,840
1,3,1,2,9,848
1,3,1,2,10,962
1,3,1,2,11,1081
1,3,1,2,12,1178
1,3,1,1,0,486
1,3,1,1,1,464
1,3,1,1,2,498
1,3,1,1,3,499
1,3,1,1,4,478
1,3,1,1,5,517
1,3,1,1,6,515
1,3,1,1,7,479
1,3,1,1,8,442
1,3,1,1,9,447
1,3,1,1,10,498
1,3,1,1,11,552
1,3,1,1,12,618
1,3,1,0,0,541
1,3,1,0,1,584
1,3,1,0,2,603
1,3,1,0,3,548
1,3,1,0,4,638
1,3,1,0,5,520
1,3,1,0,6,560
1,3,1,0,7,504
1,3,1,0,8,535
1,3,1,0,9,519
1,3,1,0,10,567
1,3,1,0,11,620
1,3,1,0,12,634
1,3,2,3,0,426
1,3,2,3,1,483
1,3,2,3,2,424
1,3,2,3,3,365
1,3,2,3,4,367
1,3,2,3,5,414
1,3,2,3,6,404
1,3,2,3,7,408
1,3,2,3,8,417
1,3,2,3,9,382
1,3,2,3,10,414
1,3,2,3,11,493
1,3,2,3,12,561
1,3,2,2,0,63
1,3,2,2,1,58
1,3,2,2,2,66
1,3,2,2,3,65
1,3,2,2,4,67
1,3,2,2,5,65
1,3,2,2,6,79
1,3,2,2,7,77
1,3,2,2,8,66
1,3,2,2,9,73
1,3,2,2,10,77
1,3,2,2,11,97
1,3,2,2,12,125
1,3,2,1,0,39
1,3,2,1,1,41
1,3,2,1,2,42
1,3,2,1,3,48
1,3,2,1,4,65
1,3,2,1,5,48
1,3,2,1,6,58
1,3,2,1,7,44
1,3,2,1,8,41
1,3,2,1,9,53
1,3,2,1,10,49
1,3,2,1,11,72
1,3,2,1,12,94
1,3,2,0,0,83
1,3,2,0,1,76
1,3,2,0,2,65
1,3,2,0,3,62
1,3,2,0,4,72
1,3,2,0,5,71
1,3,2,0,6,73
1,3,2,0,7,54
1,3,2,0,8,58
1,3,2,0,9,65
1,3,2,0,10,72
1,3,2,0,11,91
1,3,2,0,12,121
1,3,0,3,0,3313
1,3,0,3,1,3277
1,3,0,3,2,3101
1,3,0,3,3,3094
1,3,0,3,4,2943
1,3,0,3,5,2813
1,3,0,3,6,2872
1,3,0,3,7,2734
1,3,0,3,8,2602
1,3,0,3,9,2389
1,3,0,3,10,2315
1,3,0,3,11,2569
1,3,0,3,12,3130
1,3,0,2,0,517
1,3,0,2,1,490
1,3,0,2,2,489
1,3,0,2,3,564
1,3,0,2,4,579
1,3,0,2,5,586
1,3,0,2,6,562
1,3,0,2,7,461
1,3,0,2,8,451
1,3,0,2,9,395
1,3,0,2,10,443
1,3,0,2,11,556
1,3,0,2,12,662
1,3,0,1,0,368
1,3,0,1,1,357
1,3,0,1,2,377
1,3,0,1,3,349
1,3,0,1,4,366
1,3,0,1,5,383
1,3,0,1,6,349
1,3,0,1,7,332
1,3,0,1,8,294
1,3,0,1,9,321
1,3,0,1,10,306
1,3,0,1,11,391
1,3,0,1,12,433
1,3,0,0,0,493
1,3,0,0,1,501
1,3,0,0,2,541
1,3,0,0,3,537
1,3,0,0,4,498
1,3,0,0,5,459
1,3,0,0,6,401
1,3,0,0,7,452
1,3,0,0,8,408
1,3,0,0,9,392
1,3,0,0,10,471
1,3,0,0,11,512
1,3,0,0,12,572
1,3,4,3,0,1571
1,3,4,3,1,1496
1,3,4,3,2,1542
1,3,4,3,3,1465
1,3,4,3,4,1443
1,3,4,3,5,1495
1,3,4,3,6,1532
1,3,4,3,7,1607
1,3,4,3,8,1537
1,3,4,3,9,1394
1,3,4,3,10,1350
1,3,4,3,11,1558
1,3,4,3,12,1818
1,3,4,2,0,97
1,3,4,2,1,102
1,3,4,2,2,85
1,3,4,2,3,116
1,3,4,2,4,122
1,3,4,2,5,110
1,3,4,2,6,142
1,3,4,2,7,139
1,3,4,2,8,129
1,3,4,2,9,115
1,3,4,2,10,118
1,3,4,2,11,151
1,3,4,2,12,187
1,3,4,1,0,78
1,3,4,1,1,93
1,3,4,1,2,89
1,3,4,1,3,86
1,3,4,1,4,107
1,3,4,1,5,102
1,3,4,1,6,104
1,3,4,1,7,95
1,3,4,1,8,114
1,3,4,1,9,114
1,3,4,1,10,91
1,3,4,1,11,109
1,3,4,1,12,140
1,3,4,0,0,121
1,3,4,0,1,139
1,3,4,0,2,128
1,3,4,0,3,142
1,3,4,0,4,138
1,3,4,0,5,152
1,3,4,0,6,151
1,3,4,0,7,136
1,3,4,0,8,109
1,3,4,0,9,156
1,3,4,0,10,168
1,3,4,0,11,188
1,3,4,0,12,210
1,3,3,3,0,393
1,3,3,3,1,467
1,3,3,3,2,510
1,3,3,3,3,613
1,3,3,3,4,681
1,3,3,3,5,551
1,3,3,3,6,635
1,3,3,3,7,616
1,3,3,3,8,676
1,3,3,3,9,694
1,3,3,3,10,819
1,3,3,3,11,939
1,3,3,3,12,1146
1,3,3,2,0,113
1,3,3,2,1,140
1,3,3,2,2,121
1,3,3,2,3,173
1,3,3,2,4,193
1,3,3,2,5,153
1,3,3,2,6,157
1,3,3,2,7,159
1,3,3,2,8,147
1,3,3,2,9,185
